Found 525 materials
  mat_id   num_points        num_obs
      78      280,790    162,045,534
      89      281,132    164,642,017
     196      281,284    164,832,424
     488      281,325    161,480,550
     119      281,528    168,512,981
      24      283,286    164,347,660
     113      284,041    170,155,806
     427      284,536    167,022,632
     520      284,634    165,820,616
     451      285,066    164,768,148
     197      285,582    156,784,518
       3      286,185    131,847,651
     326      286,724    168,011,933
     166      287,056    166,205,424
      26      287,700    167,347,828
     452      287,913    166,701,627
     172      288,299    169,519,812
     159      288,615    167,973,930
     125      288,659    170,695,361
     165      289,771    169,805,806
     438      289,850    168,692,700
     155      290,477    169,638,568
     173      290,735    170,661,445
     208      291,283    169,214,302
      75      291,828    169,017,698
     131      292,041    171,719,911
      71      292,348    168,558,162
      62      293,010    169,815,511
     266      293,151    170,475,371
     442      293,314    171,002,062
      70      293,332    169,520,567
     486      293,434    170,485,154
     182      294,198    173,871,018
      74      294,258    170,969,449
     158      294,550    172,017,200
     229      294,824    174,046,236
     109      294,976    170,288,265
     185      295,152    174,434,832
      94      295,159    169,618,056
     181      295,602    174,700,782
     467      295,850    172,480,550
      65      296,441    174,124,278
     350      296,666    172,054,598
     190      296,853    174,846,417
     493      297,021    171,678,137
     482      297,571    172,888,751
     112      298,057    176,955,577
     123      298,453    176,139,851
      15      298,545    172,254,115
     108      298,682    148,917,345
     129      299,025    177,000,436
      79      299,043    173,366,106
     494      299,310    174,497,730
     219      299,629    175,564,901
     147      299,927    175,731,560
     310      299,955    175,761,029
     107      301,794    150,246,062
     203      301,829    174,726,710
     183      302,306    177,755,928
     176      303,690    177,658,650
     450      304,266    177,691,344
     294      304,568    176,487,241
     188      304,638    178,517,868
     240      305,436    179,394,028
     187      305,550    179,052,300
     440      305,758    178,868,430
     162      305,866    178,319,878
      21      307,189    176,554,401
     127      307,423    181,703,963
     124      308,034    184,426,921
      93      309,384    177,503,554
     437      310,246    181,183,664
     180      310,574    180,443,494
     163      310,685    181,129,355
      68      311,041    182,812,338
      72      311,369    180,006,368
     475      311,534    182,870,458
     156      312,204    182,951,544
     305      312,398    182,744,967
     499      312,527    181,578,187
      91      312,991    181,883,255
     177      313,251    182,312,082
     160      313,653    180,977,781
     299      314,203    182,447,327
     311      315,360    185,101,781
     142      316,978    185,727,637
     312      317,064    187,061,989
     487      317,108    182,654,208
     178      317,612    185,803,020
     189      317,926    186,940,488
     267      318,016    183,590,060
     133      318,731    186,603,250
     116      318,819    190,222,846
     351      318,899    186,229,031
      80      319,324    185,526,426
     291      320,481    186,994,934
     443      320,897    185,157,569
     186      321,283    189,235,687
     128      322,013    190,977,105
     161      322,300    188,867,800
     251      322,304    187,640,389
     483      322,467    187,353,327
     121      323,575    191,751,647
     301      326,462    190,635,262
      83      326,784    188,791,533
     207      326,785    190,171,885
     289      326,923    188,450,133
     149      327,060    191,806,554
     315      327,577    192,284,260
     150      327,628    191,443,624
     297      328,158    192,449,651
     282      329,254    190,145,019
      45      329,609    191,937,625
     252      329,796    193,055,675
     263      330,063    194,059,051
     309      330,341    191,592,163
     319      331,144    193,385,921
     281      331,778    191,880,207
      18      331,858    194,248,223
     324      332,545    193,203,668
      13      333,381        333,381
     220      333,425    195,190,072
     337      334,231    192,847,218
      36      334,468    193,692,517
     269      334,778    195,971,183
      99      334,970    193,523,109
     307      335,928    195,163,560
     122      336,745    198,450,970
     318      337,073    196,170,571
     135      337,105    197,080,995
      12      337,899    145,850,751
     340      338,150    197,472,504
     140      338,289    195,718,548
      86      338,944    197,838,069
     247      339,471    196,311,357
     339      339,613    199,684,669
     258      340,067    198,705,524
     336      340,162    197,969,513
      81      340,978    197,211,639
     248      341,057    199,311,042
     201      341,516    198,045,656
     323      341,948    201,057,885
     331      342,285    200,917,301
     254      342,579    200,158,466
     304      343,264    200,104,354
      53      343,450    199,395,593
     345      343,703    200,705,127
     134      343,729    201,375,110
      97      344,109    199,359,013
     138      344,575    200,836,848
     346      344,582    201,229,141
     342      345,573    202,492,694
     227      345,947    202,454,535
       4      345,965    159,580,055
     137      346,065    202,564,760
     130      346,074    205,784,512
     322      346,277    203,258,594
     255      346,457    202,127,866
      42      347,563    202,579,065
     272      349,083    202,609,553
      25      349,171    200,398,041
     141      349,650    202,746,185
     198      351,044    206,471,324
     199      351,364    207,127,234
     316      351,752    207,523,227
     279      352,650    205,729,309
