==> initializing monitor ...
==> initializing trainer ...
You are using a CUDA device ('NVIDIA L40S') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
Epoch 0:   5%| | 26/512.0 [00:00<00:14, 33.15it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32755, 3])
Epoch 0:   5%| | 27/512.0 [00:00<00:14, 33.24it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.200Le torch.Size([32751, 3])
Epoch 0:   5%| | 28/512.0 [00:00<00:14, 33.40it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.220Le torch.Size([32748, 3])
Epoch 0:   6%| | 29/512.0 [00:00<00:14, 33.61it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.200Le torch.Size([32756, 3])
Epoch 0:   6%| | 30/512.0 [00:00<00:14, 33.82it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32755, 3])
Epoch 0:   6%| | 31/512.0 [00:00<00:14, 34.03it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.200Le torch.Size([32752, 3])
Epoch 0:   6%| | 32/512.0 [00:00<00:14, 34.22it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.170Le torch.Size([32748, 3])
Epoch 0:   6%| | 33/512.0 [00:00<00:13, 34.40it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32751, 3])
Epoch 0:   7%| | 34/512.0 [00:00<00:13, 34.60it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32744, 3])
Epoch 0:   7%| | 35/512.0 [00:01<00:13, 34.72it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.200Le torch.Size([32755, 3])
Epoch 0:   7%| | 36/512.0 [00:01<00:13, 34.72it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32751, 3])
Epoch 0:   7%| | 37/512.0 [00:01<00:13, 34.79it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32749, 3])
Epoch 0:   7%| | 38/512.0 [00:01<00:13, 34.90it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.160Le torch.Size([32752, 3])
Epoch 0:   8%| | 39/512.0 [00:01<00:13, 35.03it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.220Le torch.Size([32749, 3])
Epoch 0:   8%| | 40/512.0 [00:01<00:13, 35.15it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32750, 3])
Epoch 0:   8%| | 41/512.0 [00:01<00:13, 35.30it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32745, 3])
Epoch 0:   8%| | 42/512.0 [00:01<00:13, 35.44it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.200Le torch.Size([32753, 3])
Epoch 0:   8%| | 43/512.0 [00:01<00:13, 35.57it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.220Le torch.Size([32756, 3])
Epoch 0:   9%| | 44/512.0 [00:01<00:13, 35.70it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32747, 3])
Epoch 0:   9%| | 45/512.0 [00:01<00:13, 35.84it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.180Le torch.Size([32754, 3])
Epoch 0:   9%| | 46/512.0 [00:01<00:12, 35.95it/s, loss=0.101, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32756, 3])
Epoch 0:   9%| | 47/512.0 [00:01<00:12, 36.07it/s, loss=0.101, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32755, 3])
Epoch 0:   9%| | 48/512.0 [00:01<00:12, 36.18it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32746, 3])
Epoch 0:  10%| | 49/512.0 [00:01<00:12, 36.31it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.180Le torch.Size([32746, 3])
Epoch 0:  10%| | 50/512.0 [00:01<00:12, 36.41it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.190Le torch.Size([32754, 3])
Epoch 0:  10%| | 51/512.0 [00:01<00:12, 36.52it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.200Le torch.Size([32754, 3])
Epoch 0:  10%| | 52/512.0 [00:01<00:12, 36.63it/s, loss=0.101, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.200Le torch.Size([32758, 3])
Epoch 0:  10%| | 53/512.0 [00:01<00:12, 36.74it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.170Le torch.Size([32755, 3])
Epoch 0:  11%| | 54/512.0 [00:01<00:12, 36.84it/s, loss=0.102, v_num=h14p, train/recon_loss=0.103, train/latent_reg=0.000, train/total_loss=0.103, train/psnr=9.160Le torch.Size([32748, 3])
Epoch 0:  11%| | 55/512.0 [00:01<00:12, 36.94it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.200Le torch.Size([32748, 3])
